venue,avg_1st_score,median_1st_score,std_1st_score,win_rate_bat_first
"Gahanga International Cricket Stadium, Rwanda",135.18675484351715,139.0,38.14090581598435,0.6149403874813711
Gahanga International Cricket Stadium. Rwanda,118.96214788732394,114.0,44.820806515452546,0.4007482394366197
Galle International Stadium,110.51797040169133,116.0,29.10835614682405,0.39323467230443976
Gelephu International Cricket Ground,116.59369314736203,105.0,27.230963048503952,0.38083687083080653
"Goldenacre, Edinburgh",154.14792299898684,159.0,58.811128944014655,0.6322188449848024
"Grainville, St Saviour",131.19322033898305,130.0,16.475426620008978,0.6610169491525424
"Grainville, St Saviour, Jersey",114.43119266055047,121.0,37.41140017106795,0.2762487257900102
"Grand Prairie Stadium, Dallas",144.2620016273393,136.0,27.19029986483069,0.3002441008950366
"Grange Cricket Club Ground, Raeburn Place",140.49303621169918,119.0,36.73823045641306,0.3426183844011142
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",167.5886415963162,150.0,42.8711994282748,0.5706062931696086
"Grange Cricket Club, Raeburn Place",184.5511811023622,166.0,19.032200158369978,1.0
"Great Barrier Reef Arena, Mackay",142.5,142.5,0.5010277503136528,0.5
Green Park,147.0,147.0,0.0,0.0
Greenfield International Stadium,141.9611111111111,170.0,45.97356100638383,0.2722222222222222
"Greenfield International Stadium, Thiruvananthapuram",172.2568093385214,235.0,64.6018772276968,0.5136186770428015
"Ground 1, Independence Park",78.1001353179973,69.0,34.040637877130536,0.18267929634641408
"Ground 2, Independence Park",92.46895074946467,101.0,30.44442977395893,0.29336188436830835
Guanggong International Cricket Stadium,79.73706004140787,82.0,10.936217061711483,0.4886128364389234
Gucherre Cricket Ground,187.94642857142858,197.0,29.306121974192326,0.6709183673469388
"Guernsey Rovers Athletic Club Ground, Port Soif",130.29752066115702,129.0,35.804341431595155,0.3731722822631914
Guttsta Wicked Cricket Club,52.0,52.0,0.0,0.0
Gymkhana Club Ground,140.06166219839142,138.0,40.44183337185619,0.3297587131367292
"Gymkhana Club Ground, Dar-es-Salaam",91.74861111111112,119.0,49.46590259588945,0.5208333333333334
"Gymkhana Club Ground, Nairobi",130.04357569721117,130.0,47.721090299161425,0.47086653386454186
Hagley Oval,168.68979591836734,184.0,15.530565380041908,0.5061224489795918
"Hagley Oval, Christchurch",145.55967336683418,147.0,30.682886995640985,0.30778894472361806
Happy Valley Ground,134.36177311725453,130.0,37.66884046928491,0.38894184938036225
Harare Sports Club,154.15674313751492,149.0,31.154898217974374,0.5627900808911285
Haslegrave Ground,127.534,130.5,28.6471317991983,0.75
Hazelaarweg,160.67857142857142,152.0,20.0634909761733,0.6038961038961039
"Headingley, Leeds",188.04780876494024,200.0,12.023880620635042,1.0
"High Performance Oval, Windhoek",115.95020188425303,114.0,15.623309934245873,0.8344549125168237
Himachal Pradesh Cricket Association Stadium,140.73052631578946,153.0,39.30605927619631,0.4263157894736842
"Himachal Pradesh Cricket Association Stadium, Dharamsala",164.42570281124497,146.0,18.537111371299762,0.0
Holkar Cricket Stadium,201.710843373494,260.0,59.11454097367072,0.5060240963855421
"Holkar Cricket Stadium, Indore",227.0,227.0,0.0,1.0
Hong Kong Cricket Club,101.74774774774775,113.0,24.269496272710192,0.5145145145145145
"Hurlingham Club Ground, Buenos Aires",122.2752,119.0,23.844972406599787,0.6677333333333333
ICC Academy,145.56064461407973,152.0,25.591291971798242,0.7107718405428329
ICC Academy Ground No 2,155.97101449275362,157.0,29.924083467810647,0.40096618357487923
"ICC Academy Ground No 2, Dubai",102.49282296650718,101.0,32.360062893211946,0.3939393939393939
"ICC Academy, Dubai",135.41538072350113,136.0,31.79090953976289,0.576271186440678
ICC Global Cricket Academy,132.57831325301206,139.0,6.5126189208281255,0.5060240963855421
"Independence Park, Port Vila",142.79854368932038,142.0,15.179435198259805,0.28236245954692557
Indian Association Ground,146.94212849436,144.0,32.335574638838786,0.4899460519862678
"Indian Association Ground, Singapore",132.43485211830534,145.0,45.500447825907294,0.407673860911271
Integrated Polytechnic Regional Centre,132.78569856985698,127.0,49.64139729453296,0.4814081408140814
"Ishoj Cricket Club, Vejledalen",156.97142857142856,161.0,30.79026660860139,0.7904761904761904
JSCA International Stadium Complex,159.25619834710744,196.0,39.015377099520094,0.5289256198347108
"JSCA International Stadium Complex, Ranchi",164.45381526104418,153.0,11.523069230807915,0.4979919678714859
Jade Stadium,193.0,193.0,0.0,1.0
"Jimmy Powell Oval, Cayman Islands",138.01225806451612,137.0,51.398258713416745,0.48838709677419356
Jinja Cricket Ground,92.00552486187846,89.0,3.8851529893644123,0.3756906077348066
"John Davies Oval, Queenstown",156.64788732394365,152.0,16.43004355481403,0.48893360160965793
Johor Cricket Academy Oval,103.15748031496064,108.0,5.007386160037728,0.515748031496063
Junction Oval,129.93510054844606,132.0,26.706229285548353,0.5539305301645339
Kaizuka Cricket Ground,106.1328125,91.0,21.376916091549035,0.25390625
Kennington Oval,164.5137420718816,169.0,33.44558903763097,0.5882663847780126
"Kennington Oval, London",154.70623742454728,171.0,31.27302734373352,0.5070422535211268
"Kensington Oval, Barbados",94.79514824797843,97.0,10.349883308761997,0.0
"Kensington Oval, Bridgetown",153.12718446601943,160.0,25.348188962266835,0.7242718446601941
"Kensington Oval, Bridgetown, Barbados",151.06447688564478,158.0,40.65502595205601,0.5097323600973236
Kerava National Cricket Ground,132.85866194062916,141.0,39.47737412868528,0.4286663712893221
Kerrydale Oval,116.22424242424242,139.0,28.477710194410292,0.503030303030303
Khan Shaheb Osman Ali Stadium,162.86065573770492,146.0,17.034371244148254,0.4959016393442623
King George V Sports Ground,126.8135593220339,118.0,22.03106120073006,0.583804143126177
"King George V Sports Ground, Castel",158.0587167070218,156.0,37.32624436993403,0.46731234866828086
Kingsmead,150.41478342749528,153.0,37.93785716180313,0.5856873822975518
"Kingsmead, Durban",193.194847020934,190.0,20.60454943149566,0.6038647342995169
Kinrara Academy Oval,137.99131767109296,138.0,36.06874982405038,0.5007660878447395
"Kinrara Academy Oval, Kuala Lumpur",112.3960029607698,109.0,46.43390431714757,0.4674315321983716
